title,context,target_word,question,annotated_question,answers,ambiguity_type,answer_annotation,context_len,orig_len,ambig_len,answer_len
Beyoncé,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in Oc...",album,What is the lead single on Beyoncé's first album?,What is the lead single on her first album?,"{'text': ['Crazy in Love'], 'answer_start': [474]}",both,other entity,181,9,9,6
Beyoncé,"At age eight, Beyoncé and childhood friend Kelly Rowland met LaTavia Roberson while in an audition f...",album,What large record company recorded Beyonce's group's first album?,What company made the group’s first album?,"{'text': ['Sony Music'], 'answer_start': [1264]}",both,orgaization,228,9,7,5
Beyoncé,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in Oc...",album,What solo album did Beyonce release in 2003?,What album did she issue in 2003?,"{'text': ['Dangerously in Love'], 'answer_start': [193]}",both,other entity,181,8,7,6
Beyoncé,"Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American si...",album,What was the first album Beyoncé released as a solo artist?,What was the first album she produced as a solo artist?,"{'text': ['Dangerously in Love'], 'answer_start': [505]}",both,other entity,109,11,11,6
Beyoncé,"Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American si...",album,What was the name of Beyoncé's first solo album?,What was the name of her first album?,"{'text': ['Dangerously in Love'], 'answer_start': [505]}",both,other entity,109,9,8,6
Beyoncé,"Following the disbandment of Destiny's Child in June 2005, she released her second solo album, B'Day...",album,What was the name of Beyoncé's second solo album?,What was the name of her second album?,"{'text': ['B'Day'], 'answer_start': [95]}",both,other entity,160,9,8,4
Beyoncé,"The remaining band members recorded ""Independent Women Part I"", which appeared on the soundtrack to ...",album,What was the name of Destiny Child's third album?,What was the name of the third album issued by them?,"{'text': ['Survivor'], 'answer_start': [593]}",both,other entity,184,9,11,4
Beyoncé,"Beyoncé's first solo recording was a feature on Jay Z's ""'03 Bonnie & Clyde"" that was released in Oc...",album,When did Beyoncé release her first solo album?,When did she issued her first album?,"{'text': ['June 24, 2003'], 'answer_start': [229]}",both,date time,181,8,7,6
Beyoncé,"The group changed their name to Destiny's Child in 1996, based upon a passage in the Book of Isaiah....",album,When did Destiny's Child release their second album?,When did they issued their second album?,"{'text': ['1999'], 'answer_start': [688]}",both,date time,239,8,7,4
Beyoncé,"Following the disbandment of Destiny's Child in June 2005, she released her second solo album, B'Day...",album,Which album was darker in tone from her previous work?,Which album was darker in tone compared to her previous work?,"{'text': ['Beyoncé'], 'answer_start': [180]}",both,person,160,10,11,4
2008_Sichuan_earthquake,"In the days following the disaster, an international reconnaissance team of engineers was dispatched...",area,After the quake what kind of international team was sent to the area?,What kind of area was team referred to?,"{'text': ['team of engineers'], 'answer_start': [68]}",lexical,np,41,13,8,6
2008_Sichuan_earthquake,General Secretary and President Hu Jintao announced that the disaster response would be rapid. Just ...,area,"Besides the rough terrain, why was it difficult to get to the area?",Why was it difficult to get to the area?,"{'text': ['proximity of the quake's epicenter'], 'answer_start': [559]}",lexical,np,111,13,9,8
2008_Sichuan_earthquake,Experts point out that the earthquake hit an area that has been largely neglected and untouched by C...,area,How economically forward has this area been?,How economically forward has the area been?,"{'text': ['neglected and untouched'], 'answer_start': [72]}",lexical,ap,103,7,7,6
2008_Sichuan_earthquake,"Official figures (as of July 21, 2008 12:00 CST) stated that 69,197 were confirmed dead, including 6...",area,How many people lived in the affected area?,How many people were in the area?,"{'text': ['15 million'], 'answer_start': [298]}",lexical,numeric,142,8,7,5
2008_Sichuan_earthquake,General Secretary and President Hu Jintao announced that the disaster response would be rapid. Just ...,area,How many troops were sent to the area for relief work?,How many troops were in the area?,"{'text': ['50,000'], 'answer_start': [430]}",lexical,numeric,111,11,7,4
2008_Sichuan_earthquake,General Secretary and President Hu Jintao announced that the disaster response would be rapid. Just ...,area,How soon after the earthquake was Premier Wen Jiabao on his way to the area?,How soon was the leader in the the area?,"{'text': ['90 minutes after'], 'answer_start': [100]}",lexical,date time,111,15,9,6
Frédéric_Chopin,"At the age of 21 he settled in Paris. Thereafter, during the last 18 years of his life, he gave only...",area,In what area had Frédéric's most productive period of composition taken place?,In what area did Frédéric have his most productive period?,"{'text': ['Majorca'], 'answer_start': [626]}",lexical,location,160,12,10,4
Frédéric_Chopin,Frédéric François Chopin (/ˈʃoʊpæn/; French pronunciation: ​[fʁe.de.ʁik fʁɑ̃.swa ʃɔ.pɛ̃]; 22 Februar...,area,In what area was Frédéric born in?,In what area was he born into?,"{'text': ['Duchy of Warsaw'], 'answer_start': [559]}",both,location,142,7,7,6
2008_Sichuan_earthquake,"Immediately after the earthquake event, mobile and terrestrial telecommunications were cut to the af...",area,What capabilities were cut to the entire Sichuan area?,What capabilities were cut in the entire area?,"{'text': ['internet'], 'answer_start': [138]}",lexical,np,75,9,8,4
The_Legend_of_Zelda:_Twilight_Princess,"Twilight Princess takes place several centuries after Ocarina of Time and Majora's Mask, and begins ...",area,What does Link have to gather in order to complete each area?,What is required to master the area?,"{'text': ['Tears of Light'], 'answer_start': [940]}",lexical,other entity,197,12,7,6
2008_Sichuan_earthquake,"Immediately after the earthquake event, mobile and terrestrial telecommunications were cut to the af...",area,What internet services were decreased in the area?,What services declined in the area?,"{'text': ['news and media websites'], 'answer_start': [390]}",lexical,np,75,8,6,7
The_Legend_of_Zelda:_Twilight_Princess,"Special bundles of the game contain a Wolf Link Amiibo figurine, which unlocks a Wii U-exclusive dun...",area,What is the name of the area that players with the Wolf Link Amiibo can access?,What is the name of the area that players can access?,"{'text': ['Cave of Shadows'], 'answer_start': [117]}",lexical,other entity,62,16,11,6
The_Legend_of_Zelda:_Twilight_Princess,"In the PAL region, which covers most of Africa, Asia, Europe, and Oceania, Twilight Princess is the ...",area,"What is the name of the area which includes most countries not located in North, Central or South America?",What is the name of the area that includes most countries outside the Americas?,"{'text': ['PAL'], 'answer_start': [7]}",lexical,location,64,19,14,4
2008_Sichuan_earthquake,Reporters in Chengdu said they saw cracks on walls of some residential buildings in the downtown are...,area,What part of the Olympic area was not damaged?,What part of the area was not damaged?,"{'text': ['venues'], 'answer_start': [292]}",lexical,np,71,9,8,4
2008_Sichuan_earthquake,An article in Science suggested that the construction and filling of the Zipingpu Dam may have trigg...,area,What was the affect of the dam on the stresses in that area?,What was the affect of the dam on the stresses within the area?,"{'text': ['25 times more'], 'answer_start': [444]}",lexical,numeric,123,13,13,6
The_Legend_of_Zelda:_Twilight_Princess,"In 2003, Nintendo announced that a new The Legend of Zelda game was in the works for the GameCube by...",area,What was the specific area of gameplay that had not been done in Ocarina of Time?,What was the specific area that had broke new ground in Ocarina of Time?,"{'text': ['horseback combat'], 'answer_start': [1059]}",lexical,np,176,16,14,5
2008_Sichuan_earthquake,An article in Science suggested that the construction and filling of the Zipingpu Dam may have trigg...,area,Who disregarded warnings about dams in the area?,Who disregarded warnings in the area?,"{'text': ['The government'], 'answer_start': [521]}",lexical,other entity,123,8,6,5
2008_Sichuan_earthquake,General Secretary and President Hu Jintao announced that the disaster response would be rapid. Just ...,area,Who flew to the earthquake area 90 minutes after it hit?,Who entered into the area after the hit?,"{'text': ['Premier Wen Jiabao'], 'answer_start': [133]}",lexical,other entity,111,11,8,6
2008_Sichuan_earthquake,"In a United States Geological Survey (USGS) study, preliminary rupture models of the earthquake indi...",area,Who warned of possible seismic activity in the area beforehand?,Who warned of activity in the area beforehand?,"{'text': ['Tom Parsons'], 'answer_start': [426]}",lexical,person,87,10,8,5
Beyoncé,"In September 2010, Beyoncé made her runway modelling debut at Tom Ford's Spring/Summer 2011 fashion ...",area,"in September 2010, what career area did Beyonce start exploring?","In 2010, what area did Beyonce start exploring?","{'text': ['modelling'], 'answer_start': [43]}",lexical,np,98,10,8,4
2008_Summer_Olympics_torch_relay,Macao: The event was held in Macau on May 3. It was the first time that the Olympic torch had travel...,article,A newspaper article criticized that there were not enough of what kind of person among the torchbearers?,An article criticized that there were not enough of what kind of person among the torchbearers?,"{'text': ['athletes'], 'answer_start': [906]}",lexical,np,167,17,16,4
Sino-Tibetan_relations_during_the_Ming_dynasty,"China Daily, a CCP-controlled news organization since 1981, states in a 2008 article that although t...",article,According to article Tibet has remained under what jurisdiction?,"According to the article, Tibet has remained under what jurisdiction?","{'text': ['the central government of China'], 'answer_start': [266]}",lexical,np,141,9,10,8
List_of_numbered_streets_in_Manhattan,"This article covers numbered east-west streets in Manhattan, New York City. Major streets have their...",article,Does this article cover east-west or north-south streets?,What does this article cover?,"{'text': ['east-west'], 'answer_start': [29]}",lexical,ap,55,8,5,4
List_of_numbered_streets_in_Manhattan,"This article covers numbered east-west streets in Manhattan, New York City. Major streets have their...",article,"In this article, how many degrees north of true west is ""West?""",How many degrees north of true west is ‘West' in the article?,"{'text': ['29'], 'answer_start': [319]}",lexical,numeric,55,12,12,4
2008_Summer_Olympics_torch_relay,"On April 19, the BBC reported that 1,300 people had gathered outside BBC buildings in Manchester and...",article,What article did BBC put out about China just days earlier?,What article was used about China?,"{'text': ['The challenges of reporting in China'], 'answer_start': [236]}",lexical,other entity,126,11,6,9
Political_corruption,"Trading in influence, or influence peddling, refers a person selling his/her influence over the deci...",article,What article of the Criminal Law Convention on Corruption contains distinctive criteria to determine improper influence?,What article contains distinctive criteria to determine improper influence?,"{'text': ['article 12'], 'answer_start': [1107]}",lexical,numeric,192,16,9,5
Arnold_Schwarzenegger,"In October 2013, the New York Post reported that Schwarzenegger was exploring a future run for presi...",article,"What article, section, and clause of the Constitution requires U.S. presidents to be natural-born citizens?",What article requires for U.S. presidents to be natural-born citizens?,"{'text': ['Article II, Section I, Clause V'], 'answer_start': [173]}",lexical,other entity,116,15,10,9
Separation_of_powers_under_the_United_States_Constitution,Congress often writes legislation to restrain executive officials to the performance of their duties...,article,What court case affirmed the mandates of the first and seventh sections of Article I of the Constitution?,What court case affirmed the mandates of article?,"{'text': ['INS v. Chadha'], 'answer_start': [146]}",lexical,other entity,158,18,8,6
Catalan_language,"In Alghero, the IEC has adapted its standard to the Alguerese dialect. In this standard one can find...",article,What definite article is found rather than el?,What article is found rather than el?,"{'text': ['lo'], 'answer_start': [145]}",lexical,other,97,8,7,4
Alexander_Graham_Bell,The March 1906 Scientific American article by American pioneer William E. Meacham explained the basi...,article,What did Bell start drawing after reading the article?,What did Bell start drawing after reading an article?,"{'text': ['hydrofoil boat'], 'answer_start': [324]}",lexical,np,102,9,9,5
Treaty,"After the preamble comes numbered articles, which contain the substance of the parties' actual agree...",article,What does each article heading usually encompass?,What does each article usually encompass?,"{'text': ['a paragraph'], 'answer_start': [147]}",lexical,np,32,7,6,5
Symbiosis,Adaptation of the endosymbiont to the host's lifestyle leads to many changes in the endosymbiont–the...,article,What does the article say could be the reason for the buildup of harmful mutations?,What reason for harmful mutations does the article suggest?,"{'text': ['lack of selection mechanisms'], 'answer_start': [1420]}",lexical,np,227,15,9,7
Catalan_language,"Central Catalan has abandoned almost completely unstressed possessives (mon, etc.) in favour of cons...",article,What is an example of an article +stressed forms?,What is an example of an article for stressed forms?,"{'text': ['el meu'], 'answer_start': [139]}",lexical,np,27,9,10,5
Royal_Institute_of_British_Architects,In the nineteenth and twentieth centuries the RIBA and its members had a leading part in the promoti...,article,What major compendium did Budden help write an article for?,What major compendium included an article written by Budden?,"{'text': ['Encyclopædia Britannica'], 'answer_start': [567]}",lexical,other entity,114,10,9,5
2008_Sichuan_earthquake,An article in Science suggested that the construction and filling of the Zipingpu Dam may have trigg...,article,What structure did an article contemplate could have caused the quake?,What structure was said to have caused the quake in the article?,"{'text': ['Zipingpu Dam'], 'answer_start': [73]}",lexical,other entity,123,11,12,5
2008_Sichuan_earthquake,"In January 2010, Hong Kong-based English newspaper The Standard reported that writer Tan Zuoren atte...",article,When was the article published about the case?,When was ‘an’ article placed related to the case?,"{'text': ['January 2010'], 'answer_start': [3]}",lexical,date time,49,8,9,5
Adult_contemporary_music,A notable pattern that developed during the 2000s and 2010s has been for certain pop songs to have l...,article,Where was Corey Moss' article published?,Where was the article placed?,"{'text': ['MTV's website'], 'answer_start': [494]}",lexical,np,121,6,5,5
2008_Sichuan_earthquake,In the China Digital Times an article reports a close analysis by an alleged Chinese construction en...,article,Where was an article reported about the scandal?,Where was the article reported?,"{'text': ['China Digital Times'], 'answer_start': [7]}",lexical,orgaization,25,8,5,6
Treaty,Treaties are not necessarily permanently binding upon the signatory parties. As obligations in inter...,article,Which article of the Vienna Convention on the Law of Treaties provides that there is a presumption that treaties cannot be unilaterally denounced?,Which article provides that treaties cannot be unilaterally denounced?,"{'text': ['Article 56'], 'answer_start': [498]}",lexical,other entity,113,23,9,5
Sino-Tibetan_relations_during_the_Ming_dynasty,"China Daily, a CCP-controlled news organization since 1981, states in a 2008 article that although t...",article,Who does the article claim had two itinerant high commands over Tibet?,Who high command over Tibet from the article?,"{'text': ['the Ming'], 'answer_start': [320]}",lexical,person,141,12,8,5
Queen_Victoria,"Napoleon III, since the Crimean War Britain's closest ally, visited London in April 1855, and from 1...",ball,How many guests attented a ball at the Palace of Versaille with Napoleon III and the royal couple in attendence?,How many guests gathered for a ball at the Palace?,"{'text': ['1,200'], 'answer_start': [467]}",lexical,numeric,86,20,10,4
Queen_Victoria,"Napoleon III, since the Crimean War Britain's closest ally, visited London in April 1855, and from 1...",ball,Victoria and Albert were the guests of honor at a large ball that took place where?,Where did Victoria and Albert encounter a large ball?,"{'text': ['the Palace of Versailles'], 'answer_start': [487]}",lexical,location,86,16,9,7
Canadian_football,"At the beginning of a match, an official tosses a coin and allows the captain of the visiting team c...",ball,What can the team that wins the coin toss choose besides whether they wish to kick off or receive the ball?,What can the team choose besides the ball?,"{'text': ['which direction of the field to play in'], 'answer_start': [383]}",lexical,other,145,21,8,11
Canadian_football,Each play constitutes a down. The offence must advance the ball at least ten yards towards the oppon...,ball,What does a team do when they have not advance the ball enough to score or likely gain a new set of downs?,What happens if the ball isn’t progressed by the group?,"{'text': ['punt'], 'answer_start': [522]}",lexical,np,138,23,10,4
Canadian_football,On the field at the beginning of a play are two teams of 12 (unlike 11 in American football). The te...,ball,What is the initial backward movement of the ball in a play called?,What do you call the ball’s first backward move in a play?,"{'text': ['the snap'], 'answer_start': [250]}",lexical,np,99,13,12,5
Canadian_football,"Play stops when the ball carrier's knee, elbow, or any other body part aside from the feet and hands...",ball,"What is the term for play stopped because the ball carrier, although not fully tackled, can no longer advance the ball?",What is the term for play stopping when the ball can’t move forward?,"{'text': ['forward progress'], 'answer_start': [454]}",lexical,np,99,21,13,5
Canadian_football,"Before scrimmage, an official places the ball at the spot it was at the stop of clock, but no nearer...",ball,What is the term for the line across the field where the ball is positioned before a play?,What is the line called where the ball placed before the start?,"{'text': ['line of scrimmage'], 'answer_start': [305]}",lexical,np,129,18,12,6
Canadian_football,On the field at the beginning of a play are two teams of 12 (unlike 11 in American football). The te...,ball,What is the term for the team who begins a play with control of the ball?,What do you call a group that starts off in charge of a ball?,"{'text': ['offence'], 'answer_start': [136]}",lexical,np,99,16,14,4
Canadian_football,"Before scrimmage, an official places the ball at the spot it was at the stop of clock, but no nearer...",ball,What minimum distance from the sideline does the official place the ball before play starts?,How close to the edge can the ball be set before starting?,"{'text': ['24 yards'], 'answer_start': [106]}",lexical,numeric,129,15,12,5
Pub,By the end of the 18th century a new room in the pub was established: the saloon.[citation needed] B...,ball,What street in Islington was named for a pub run by Mr Ball?,What Islington street was named for a pub where ball was in charge?,"{'text': ['Balls Pond Road'], 'answer_start': [209]}",lexical,location,231,13,13,6
Chicago_Cubs,"On May 11, 2000, Glenallen Hill, facing Brewers starter Steve Woodard, became the first, and thus fa...",ball,When did the first and only player to hit a pitched ball onto the roof of a five-story building across Waveland Ave?,When was the ball on that five-story roof across Waveland Ave?,"{'text': ['May 11, 2000'], 'answer_start': [3]}",lexical,date time,245,22,11,6
Chicago_Cubs,An album entitled Take Me Out to a Cubs Game was released in 2008. It is a collection of 17 songs an...,ball,"When was Harry Caray's final performance of ""Take Me Out to the Ball Game""?",When was the last time Harry Caray performed 'Take Me Out to the Ball'?,"{'text': ['September 21, 1997'], 'answer_start': [219]}",lexical,date time,95,14,14,6
Canadian_football,"Penalties never result in a score for the offence. For example, a point-of-foul infraction committed...",ball,Where is the ball placed when a defensive penalty is committed in their own end zone?,Where is the ball moved following a defensive violation in their end zone?,"{'text': ['one-yard line'], 'answer_start': [197]}",both,np,116,16,13,5
Queen_Victoria,"Napoleon III, since the Crimean War Britain's closest ally, visited London in April 1855, and from 1...",ball,Where were Victoria and Albert honored guests at ball thrown by Napoleon III?,Where were Victoria and Albert honored guests when Napoleon III thrown a ball?,"{'text': ['Palace of Versailles'], 'answer_start': [491]}",lexical,location,86,13,13,6
Canadian_football,"Play stops when the ball carrier's knee, elbow, or any other body part aside from the feet and hands...",ball,Which parts of the ball carrier's body do not cause play to stop when they touch the ground?,Which body parts don’t stop the ball play when touching the ground?,"{'text': ['feet and hands'], 'answer_start': [86]}",lexical,np,99,18,12,6
Beyoncé,"Beyoncé further expanded her acting career, starring as blues singer Etta James in the 2008 musical ...",ball,Which song did Beyonce sing at the first couple's inaugural ball?,Which song did Beyonce sing at the first couple's ball?,"{'text': ['At Last'], 'answer_start': [582]}",lexical,other entity,178,11,10,5
Chicago_Cubs,"On May 11, 2000, Glenallen Hill, facing Brewers starter Steve Woodard, became the first, and thus fa...",ball,Who barely missed the scoreboard when he launched a home run ball onto Sheffield Avenue?,Who almost took out the scoreboard with their ball on Sheffield Ave?,"{'text': ['Bill Nicholson'], 'answer_start': [519]}",both,person,245,15,12,5
Chicago_Cubs,"After losing an extra-inning game in Game 1, the Cubs rallied and took a 3 games to 1 lead over the ...",ball,Who hit the foul ball that several spectators attempted to catch?,Who launched the ball that everyone chased?,"{'text': ['Luis Castillo'], 'answer_start': [403]}",lexical,person,259,11,7,5
Chicago_Cubs,"On May 11, 2000, Glenallen Hill, facing Brewers starter Steve Woodard, became the first, and thus fa...",ball,Who was the first and only player to hit a pitched ball onto the roof of a five-story building across Waveland Ave?,Who first delivered a ball onto the roof across Waveland Ave?,"{'text': ['Glenallen Hill'], 'answer_start': [17]}",lexical,person,245,22,11,5
Canadian_football,"There are many rules to contact in this type of football. First, the only player on the field who ma...",ball,Within what distance from the line of scrimmage can offensive players who do not have the ball be legally contacted by defensive players?,How close to the line can one without the ball be legally contacted?,"{'text': ['one yard'], 'answer_start': [381]}",lexical,numeric,152,23,13,5
Political_corruption,Economists argue that one of the factors behind the differing economic development in Africa and Asi...,bank,African dictators often have what kind of bank accounts?,African dictators often have what kind of bank?,"{'text': ['Swiss'], 'answer_start': [341]}",lexical,other entity,75,9,8,4
Israel,"In 2009[update], over 300,000 Israeli citizens lived in West Bank settlements such as Ma'ale Adumim ...",bank,How many Israeli citizens lived in West Bank settlements?,How many Israeli citizens lived in West Bank?,"{'text': ['over 300,000'], 'answer_start': [17]}",lexical,numeric,99,9,8,5
Political_corruption,"The World Bank collects a range of data on corruption, including survey responses from over 100,000 ...",bank,How many firms throughout the world have been surveyed by the World Bank in regards to its corruption study?,How many firms worldwide were surveyed by the bank for its corruption study?,"{'text': ['over 100,000'], 'answer_start': [87]}",lexical,numeric,143,19,13,5
New_Delhi,The city is home to numerous international organisations. The Asian and Pacific Centre for Transfer ...,bank,The regional office of the World Bank in India is located in what city?,In what city is the Bank in India is located?,"{'text': ['New Delhi'], 'answer_start': [194]}",lexical,location,60,14,10,5
Republic_of_the_Congo,"Internationally, Sassou's regime has been hit by corruption revelations despite attempts to censor t...",bank,What country found bank accounts and real estate owned by the Sassou regime?,What country found bank owned by the Sassou regime?,"{'text': ['France'], 'answer_start': [194]}",lexical,location,37,13,9,4
Southampton,"The River Test runs along the western border of the city, separating it from the New Forest. There a...",bank,What forest is on the opposite bank of the River Test from Southampton?,What forest is across the bank from Southampton’s River Test?,"{'text': ['New Forest'], 'answer_start': [81]}",lexical,other entity,193,13,10,5
Everton_F.C.,Everton F.C. is a limited company with the board of directors holding a majority of the shares. The ...,bank,What is the Everton FC's overdraft with Barclays Bank secured against?,What is Everton’s overdraft secured against at Barclays Bank?,"{'text': ['Basic Award Fund'], 'answer_start': [330]}",lexical,other entity,118,11,9,6
Boston,"The city has several federal facilities, including the John F. Kennedy Federal Office Building, the ...",bank,What’s the name of the famous bank in Boston?,What’s the name of the famous bank by the water in Boston?,"{'text': ['Federal Reserve Bank of Boston'], 'answer_start': [270]}",lexical,orgaization,47,9,12,8
MP3,"Due to the tree structure of the filter bank, pre-echo problems are made worse, as the combined impu...",bank,What kind of structure does a filter bank have?,What kind of architecture does the bank have?,"{'text': ['tree'], 'answer_start': [11]}",lexical,np,74,9,8,4
Hanover,Another point of interest is the Old Town. In the centre are the large Marktkirche (Church St. Georg...,bank,What world famous landmark is located on the bank of the Leine?,Which world-famous landmark stands on the bank by the Leine?,"{'text': ['Nanas of Niki de Saint-Phalle'], 'answer_start': [718]}",lexical,other entity,195,12,10,8
Boston,"Boston is an intellectual, technological, and political center but has lost some important regional ...",bank,What year did Bank of America buy FleetBoston Fonancial?,What year did the bank absorb FleetBoston Financial?,"{'text': ['2004'], 'answer_start': [344]}",lexical,date time,151,9,8,4
Saint_Helena,"Today Saint Helena has its own currency, the Saint Helena pound, which is at parity with the pound s...",bank,What year was the Bank of Saint Helena established?,What year did the Bank of Saint Helena first appear?,"{'text': ['2004'], 'answer_start': [261]}",lexical,date time,75,9,10,4
Oklahoma_City,"In 2008, Forbes magazine named Oklahoma City the most ""recession proof city in America"". The magazin...",bank,When did Penn Square Bank go bankrupt?,When did Penn Square Bank collapsed?,"{'text': ['1982'], 'answer_start': [399]}",lexical,date time,75,7,6,4
Israel,"The West Bank was annexed by Jordan in 1950, following the Arab rejection of the UN decision to crea...",bank,When was the West Bank annexed by Jordan?,When did Jordan take over the West Bank?,"{'text': ['1950'], 'answer_start': [39]}",lexical,date time,176,8,8,4
MP3,"A working group consisting of Leon van de Kerkhof (The Netherlands), Gerhard Stoll (Germany), Leonar...",bank,Where was the filter bank taken from?,Where did they get the filter bank?,"{'text': ['Layer 2'], 'answer_start': [271]}",both,other entity,64,7,7,5
United_States_dollar,"The U.S. Constitution provides that Congress shall have the power to ""borrow money on the credit of ...",bank,"Where, other than any Federal Reserve bank, can notes be redeemed?",Where besides a bank can these notes be cashed in?,"{'text': ['Washington, District of Columbia'], 'answer_start': [387]}",lexical,location,129,11,10,7
Near_East,"The Encyclopædia Britannica defines the Near East as including Armenia, Azerbaijan, Bahrain, Cyprus,...",bank,"Who defines the Near East as including Armenia, Azerbaijan, Bahrain, Cyprus, Egypt. Georgia, Iran, Iraq, Isreal, Jordan, Kuwait, Lebanon, Libya, Oman, Palestine, Qatar, Saudi Arabia, Sudan, Syria, Turkey, the United Arab Emirates, the West Bank, and Yemen?","Who defines the Near East as including Armenia, Azerbaijan, Bahrain, Cyprus, Egypt. Georgia, Iran, Iraq, Isreal, Jordan, Kuwait, Lebanon, Libya, Oman, Palestine, Qatar, Saudi Arabia, Sudan, Syria, Turkey, the United Arab Emirates, the West Bank, and Yemen?","{'text': ['The Encyclopædia Britannica'], 'answer_start': [0]}",lexical,other entity,109,37,37,6
Himachal_Pradesh,Himachal is extremely rich in hydro electric resources. The state has about 25% of the national pote...,bank,Who is the first state in India to have every family have a bank account?,Which Indian state first ensured every family had access to a bank?,"{'text': ['Himachal'], 'answer_start': [0]}",lexical,location,129,15,12,4
Israel,"Meanwhile, Begin's government provided incentives for Israelis to settle in the occupied West Bank, ...",bank,Who provided incentives for Israelis to settle in the occupied West Bank?,Who provided for Israelis to settle in the occupied bank?,"{'text': ['Begin's government'], 'answer_start': [11]}",lexical,other entity,130,12,10,5
United_States_dollar,There is ongoing debate about whether central banks should target zero inflation (which would mean a...,bank,"With a zero inflation rate, what would the central bank be unable to do other than control interest rates?","With no inflation, what can’t the bank hold besides rates?","{'text': ['stimulate the economy'], 'answer_start': [498]}",lexical,vp,90,19,10,6
Pub,"Traditional games are played in pubs, ranging from the well-known darts, skittles, dominoes, cards a...",bar,"Along with darts, skittles, dominoes and bar billiards, what is a well-known pub game?",What popular game uses the bar alongside darts and skittles?,"{'text': ['cards'], 'answer_start': [93]}",lexical,np,81,14,10,4
Pub,"Isambard Kingdom Brunel, the British engineer and railway builder, introduced the idea of a circular...",bar,At what establishment was the circular bar introduced?,At what establishment was the circular bar introduced?,"{'text': ['Swindon station pub'], 'answer_start': [114]}",lexical,other entity,54,8,8,6
Bird_migration,"Some bar-tailed godwits Limosa lapponica have the longest known non-stop flight of any migrant, flyi...",bar,How far do bar-tailed godwits travel to migrate?,How far does the bar travel to migrate?,"{'text': ['11,000 km'], 'answer_start': [103]}",lexical,numeric,42,8,8,5
Bird_migration,"Some bar-tailed godwits Limosa lapponica have the longest known non-stop flight of any migrant, flyi...",bar,How much of the bar-tailed godwits bodyweight is stored as fat before migration?,How much of the bar’s weight is fat before moving?,"{'text': ['55 percent'], 'answer_start': [186]}",lexical,numeric,42,13,10,5
