context,target_word,question,annotated_question,answers,ground_truth_answer,bert-base_pred_orig,bert-base_pred_ambig,bert-large_pred_orig,bert-large_pred_ambig,roberta-base_pred_orig,roberta-base_pred_ambig,roberta-large_pred_orig,roberta-large_pred_ambig,deberta-base_pred_orig,deberta-base_pred_ambig,deberta-large_pred_orig,deberta-large_pred_ambig
"Nasser was informed of the British–American withdrawal via a news statement while aboard a plane returning to Cairo from Belgrade, and took great offense. Although ideas for nationalizing the Suez Canal were in the offing after the UK agreed to withdraw its military from Egypt in 1954 (the last British troops left on 13 June 1956), journalist Mohamed Hassanein Heikal asserts that Nasser made the final decision to nationalize the waterway between 19 and 20 July. Nasser himself would later state that he decided on 23 July, after studying the issue and deliberating with some of his advisers from the dissolved RCC, namely Boghdadi and technical specialist Mahmoud Younis, beginning on 21 July. The rest of the RCC's former members were informed of the decision on 24 July, while the bulk of the cabinet was unaware of the nationalization scheme until hours before Nasser publicly announced it. According to Ramadan, Nasser's decision to nationalize the canal was a solitary decision, taken without consultation.",cabinet,What was Nasser's cabinet's knowledge of the nationalization scheme before Nasser announced it?,What knowledge did the cabinet contain before the announcement?,"{'text': ['unaware'], 'answer_start': [811]}",['unaware'],unaware,nationalization scheme,unaware,unaware of the nationalization scheme, unaware, unaware of the nationalization scheme, unaware,<s>,unaware,unaware of the nationalization scheme,unaware,unaware
"From 1721 this was the Whig politician Robert Walpole, who held office for twenty-one years. Walpole chaired cabinet meetings, appointed all the other ministers, dispensed the royal patronage and packed the House of Commons with his supporters. Under Walpole, the doctrine of cabinet solidarity developed. Walpole required that no minister other than himself have private dealings with the king, and also that when the cabinet had agreed on a policy, all ministers must defend it in public, or resign. As a later prime minister, Lord Melbourne, said, ""It matters not what we say, gentlemen, so long as we all say the same thing.""",cabinet,What would a minister have to do if he did not publicly support a cabinet policy?,What would a minister have to do if he did not  agree with a plan in the cabinet ?,"{'text': ['resign'], 'answer_start': [494]}",['resign'],resign,resign,resign,resign, resign," defend it in public, or resign", resign, resign,resign,resign.,resign,"all ministers must defend it in public, or resign"
"When the party is represented by members in the lower house of parliament, the party leader simultaneously serves as the leader of the parliamentary group of that full party representation; depending on a minimum number of seats held, Westminster-based parties typically allow for leaders to form frontbench teams of senior fellow members of the parliamentary group to serve as critics of aspects of government policy. When a party becomes the largest party not part of the Government, the party's parliamentary group forms the Official Opposition, with Official Opposition frontbench team members often forming the Official Opposition Shadow cabinet. When a party achieves enough seats in an election to form a majority, the party's frontbench becomes the Cabinet of government ministers.",cabinet,When does a party's frontbench become the Cabinet of government ministers?,When does a front group turn into the cabinet?,"{'text': ['When a party achieves enough seats in an election to form a majority'], 'answer_start': [652]}",['When a party achieves enough seats in an election to form a majority'],when a party achieves enough seats in an election to form a majority,[CLS],when a party achieves enough seats in an election to form a majority,when a party achieves enough seats in an election to form a majority, When a party achieves enough seats in an election to form a majority,<s>, When a party achieves enough seats in an election to form a majority, When a party achieves enough seats in an election to form a majority,When a party achieves enough seats in an election to form a majority,When a party achieves enough seats in an election to form a majority,When a party achieves enough seats in an election to form a majority,When a party achieves enough seats in an election to form a majority
"Her Diamond Jubilee in 2012 marked 60 years on the throne, and celebrations were held throughout her realms, the wider Commonwealth, and beyond. In a message released on Accession Day, she stated: ""In this special year, as I dedicate myself anew to your service, I hope we will all be reminded of the power of togetherness and the convening strength of family, friendship and good neighbourliness ... I hope also that this Jubilee year will be a time to give thanks for the great advances that have been made since 1952 and to look forward to the future with clear head and warm heart"". She and her husband undertook an extensive tour of the United Kingdom, while her children and grandchildren embarked on royal tours of other Commonwealth states on her behalf. On 4 June, Jubilee beacons were lit around the world. On 18 December, she became the first British sovereign to attend a peacetime Cabinet meeting since George III in 1781.",cabinet,When was the last time that a sovereign attended a peacetime cabinet meeting?,When was the last time that a sovereign attended a cabinet?,"{'text': ['1781'], 'answer_start': [930]}",['1781'],1781,1781,1781,1781, 1781, 1781, 1781, 1781,1781,1781,1781,1781
"In 1940, Winston Churchill replaced Neville Chamberlain as Prime Minister, though personally George would have preferred to appoint Lord Halifax. After the King's initial dismay over Churchill's appointment of Lord Beaverbrook to the Cabinet, he and Churchill developed ""the closest personal relationship in modern British history between a monarch and a Prime Minister"". Every Tuesday for four and a half years from September 1940, the two men met privately for lunch to discuss the war in secret and with frankness.",cabinet,Who did Churchill appoint to Cabinet that the King did not like?,Who did he place in the cabinet that displeased the monarch?,"{'text': ['Lord Beaverbrook'], 'answer_start': [210]}",['Lord Beaverbrook'],lord beaverbrook,lord beaverbrook,lord beaverbrook,lord beaverbrook, Lord Beaverbrook, Lord Beaverbrook, Lord Beaverbrook, Lord Beaverbrook,Lord Beaverbrook,Lord Beaverbrook,Lord Beaverbrook,Lord Beaverbrook
"From 1721 this was the Whig politician Robert Walpole, who held office for twenty-one years. Walpole chaired cabinet meetings, appointed all the other ministers, dispensed the royal patronage and packed the House of Commons with his supporters. Under Walpole, the doctrine of cabinet solidarity developed. Walpole required that no minister other than himself have private dealings with the king, and also that when the cabinet had agreed on a policy, all ministers must defend it in public, or resign. As a later prime minister, Lord Melbourne, said, ""It matters not what we say, gentlemen, so long as we all say the same thing.""",cabinet,Who is another prime minister who reiterated the principles of cabinet solidarity?,Who is another leader who restated the values of cabinet unity?,"{'text': ['Lord Melbourne'], 'answer_start': [529]}",['Lord Melbourne'],lord melbourne,lord melbourne,lord melbourne,lord melbourne, Lord Melbourne, Robert Walpole, Lord Melbourne, Lord Melbourne,Lord Melbourne,Lord Melbourne,Lord Melbourne,Lord Melbourne
"Winston Churchill, on forming his government in 1940, created the office of Minister of Defence to exercise ministerial control over the Chiefs of Staff Committee and to co-ordinate defence matters. The post was held by the Prime Minister of the day until Clement Attlee's government introduced the Ministry of Defence Act of 1946. The new ministry was headed by a Minister of Defence who possessed a seat in the Cabinet. The three existing service Ministers—the Secretary of State for War, the First Lord of the Admiralty, and the Secretary of State for Air—remained in direct operational control of their respective services, but ceased to attend Cabinet.",cabinet,Who stopped attending Cabinet with the passage of the Ministry of Defence Act of 1946?,Who stopped showing up at the cabinet after that law passed?,"{'text': ['the Secretary of State for War, the First Lord of the Admiralty, and the Secretary of State for Air'], 'answer_start': [459]}","['the Secretary of State for War, the First Lord of the Admiralty, and the Secretary of State for Air']","the secretary of state for war, the first lord of the admiralty, and the secretary of state for air","the secretary of state for war, the first lord of the admiralty, and the secretary of state for air","the secretary of state for war , the first lord of the admiralty , and the secretary of state for air","the secretary of state for war , the first lord of the admiralty , and the secretary of state for air", The three existing service Ministers, three existing service Ministers,"the Secretary of State for War, the First Lord of the Admiralty, and the Secretary of State for Air", The three existing service Ministers,"the Secretary of State for War, the First Lord of the Admiralty, and the Secretary of State for Air","the Secretary of State for War, the First Lord of the Admiralty, and the Secretary of State for Air","the Secretary of State for War, the First Lord of the Admiralty, and the Secretary of State for Air","the Secretary of State for War, the First Lord of the Admiralty, and the Secretary of State for Air"
"In exchange for Rupert Murdoch's support, Blair agreed not to join the European Exchange Rate Mechanism – which John Major had withdrawn the country from in September 1992 after barely two years. Cabinet Minister Peter Mandelson was ""outed"" by Matthew Parris (a former Sun columnist) on BBC TV's Newsnight in November 1998. Misjudging public response, The Sun's editor David Yelland demanded to know in a front page editorial whether Britain was governed by a ""gay mafia"" of a ""closed world of men with a mutual self-interest"". Three days later the paper apologised in another editorial which said The Sun would never again reveal a person's sexuality unless it could be defended on the grounds of ""overwhelming public interest"".",cabinet,Who was Cabinet Minister in 1998?,Who was in the cabinet in 1998?,"{'text': ['Peter Mandelson'], 'answer_start': [213]}",['Peter Mandelson'],peter mandelson,peter mandelson,peter mandelson,peter mandelson, Peter Mandelson, Peter Mandelson, Peter Mandelson, Peter Mandelson,Peter Mandelson,Peter Mandelson,Peter Mandelson,Peter Mandelson
"The power of these ministers depended entirely on the personal favour of the monarch. Although managing the parliament was among the necessary skills of holding high office, they did not depend on a parliamentary majority for their power. Although there was a cabinet, it was appointed entirely by the monarch, and the monarch usually presided over its meetings.",cabinet,Who was responsible for naming people to serve in the cabinet?,Who decided who would be placed inside the cabinet?,"{'text': ['the monarch'], 'answer_start': [73]}",['the monarch'],the monarch,[CLS],the monarch,, the monarch, the monarch, the monarch, the monarch,the monarch,the monarch,the monarch,the monarch
"Menzies continued the expanded immigration program established under Chifley, and took important steps towards dismantling the White Australia Policy. In the early 1950s, external affairs minister Percy Spender helped to establish the Colombo Plan for providing economic aid to underdeveloped nations in Australia's region. Under that scheme many future Asian leaders studied in Australia. In 1958 the government replaced the Immigration Act's arbitrarily applied European language dictation test with an entry permit system, that reflected economic and skills criteria. In 1962, Menzies' Commonwealth Electoral Act provided that all Indigenous Australians should have the right to enrol and vote at federal elections (prior to this, indigenous people in Queensland, Western Australia and some in the Northern Territory had been excluded from voting unless they were ex-servicemen). In 1949 the Liberals appointed Dame Enid Lyons as the first woman to serve in an Australian Cabinet. Menzies remained a staunch supporter of links to the monarchy and British Commonwealth but formalised an alliance with the United States and concluded the Agreement on Commerce between Australia and Japan which was signed in July 1957 and launched post-war trade with Japan, beginning a growth of Australian exports of coal, iron ore and mineral resources that would steadily climb until Japan became Australia's largest trading partner.",cabinet,Who was the first women to serve on the Australian Cabinet?,Who was the first woman to be part of the cabinet in Australia?,"{'text': ['Dame Enid Lyons'], 'answer_start': [914]}",['Dame Enid Lyons'],dame enid lyons,dame enid lyons,dame enid lyons,dame enid lyons, Dame Enid Lyons, Dame Enid Lyons, Dame Enid Lyons, Dame Enid Lyons,Dame Enid Lyons,Dame Enid Lyons,Dame Enid Lyons,Dame Enid Lyons
"Some organisms have multiple copies of chromosomes: diploid, triploid, tetraploid and so on. In classical genetics, in a sexually reproducing organism (typically eukarya) the gamete has half the number of chromosomes of the somatic cell and the genome is a full set of chromosomes in a diploid cell. The halving of the genetic material in gametes is accomplished by the segregation of homologous chromosomes during meiosis. In haploid organisms, including cells of bacteria, archaea, and in organelles including mitochondria and chloroplasts, or viruses, that similarly contain genes, the single or set of circular or linear chains of DNA (or RNA for some viruses), likewise constitute the genome. The term genome can be applied specifically to mean what is stored on a complete set of nuclear DNA (i.e., the ""nuclear genome"") but can also be applied to what is stored within organelles that contain their own DNA, as with the ""mitochondrial genome"" or the ""chloroplast genome"". Additionally, the genome can comprise non-chromosomal genetic elements such as viruses, plasmids, and transposable elements.",cell,A gamate has how many chromosomes relative to a somatic cell?,What is count when matched with a regular cell?,"{'text': ['half'], 'answer_start': [186]}",['half'],half,[CLS],half,diploid cell, half,<s>, half,<s>,half,[CLS],half,
"Synapses are the key functional elements of the brain. The essential function of the brain is cell-to-cell communication, and synapses are the points at which communication occurs. The human brain has been estimated to contain approximately 100 trillion synapses; even the brain of a fruit fly contains several million. The functions of these synapses are very diverse: some are excitatory (exciting the target cell); others are inhibitory; others work by activating second messenger systems that change the internal chemistry of their target cells in complex ways. A large number of synapses are dynamically modifiable; that is, they are capable of changing strength in a way that is controlled by the patterns of signals that pass through them. It is widely believed that activity-dependent modification of synapses is the brain's primary mechanism for learning and memory.",cell,A synapse whose purpose is to excite the target cell are called what?,What is a synapse called that stimulates the cell?,"{'text': ['excitatory'], 'answer_start': [379]}",['excitatory'],excitatory,excitatory,excitatory,excitatory, excitatory, excitatory, excitatory, excitatory,excitatory,excitatory,excitatory,excitatory
"After DNA replication is complete, the cell must physically separate the two copies of the genome and divide into two distinct membrane-bound cells.:18.2 In prokaryotes (bacteria and archaea) this usually occurs via a relatively simple process called binary fission, in which each circular genome attaches to the cell membrane and is separated into the daughter cells as the membrane invaginates to split the cytoplasm into two membrane-bound portions. Binary fission is extremely fast compared to the rates of cell division in eukaryotes. Eukaryotic cell division is a more complex process known as the cell cycle; DNA replication occurs during a phase of this cycle known as S phase, whereas the process of segregating chromosomes and splitting the cytoplasm occurs during M phase.:18.1",cell,"Compared to the rates of cell division in eukaryotes, with what speed does binary fission occur?","Compared to division of a cell, how quick is this process occur?","{'text': ['extremely fast'], 'answer_start': [471]}",['extremely fast'],extremely fast,extremely fast,extremely fast,extremely fast, extremely fast, extremely fast, extremely fast,,extremely fast,Binary fission is extremely fast,extremely fast,Binary fission is extremely fast
"The growth, development, and reproduction of organisms relies on cell division, or the process by which a single cell divides into two usually identical daughter cells. This requires first making a duplicate copy of every gene in the genome in a process called DNA replication.:5.2 The copies are made by specialized enzymes known as DNA polymerases, which ""read"" one strand of the double-helical DNA, known as the template strand, and synthesize a new complementary strand. Because the DNA double helix is held together by base pairing, the sequence of one strand completely specifies the sequence of its complement; hence only one strand needs to be read by the enzyme to produce a faithful copy. The process of DNA replication is semiconservative; that is, the copy of the genome inherited by each daughter cell contains one original and one newly synthesized strand of DNA.:5.2",cell,"In cell division, what two cells are created?","In cell division, what two cells are created?","{'text': ['identical daughter cells'], 'answer_start': [143]}",['identical daughter cells'],identical daughter cells,identical daughter cells,identical daughter cells,identical daughter cells, daughter cells, daughter cells, identical daughter cells, identical daughter cells,identical daughter cells,identical daughter cells,identical daughter cells,identical daughter cells
"In the last two decades, photovoltaics (PV), also known as solar PV, has evolved from a pure niche market of small scale applications towards becoming a mainstream electricity source. A solar cell is a device that converts light directly into electricity using the photoelectric effect. The first solar cell was constructed by Charles Fritts in the 1880s. In 1931 a German engineer, Dr Bruno Lange, developed a photo cell using silver selenide in place of copper oxide. Although the prototype selenium cells converted less than 1% of incident light into electricity, both Ernst Werner von Siemens and James Clerk Maxwell recognized the importance of this discovery. Following the work of Russell Ohl in the 1940s, researchers Gerald Pearson, Calvin Fuller and Daryl Chapin created the crystalline silicon solar cell in 1954. These early solar cells cost 286 USD/watt and reached efficiencies of 4.5–6%. By 2012 available efficiencies exceed 20% and the maximum efficiency of research photovoltaics is over 40%.",cell,"In the 1880s, who constructed the first solar cell?","In the 1880s, who constructed the first cell?","{'text': ['Charles Fritts'], 'answer_start': [327]}",['Charles Fritts'],charles fritts,charles fritts,charles fritts,charles fritts, Charles Fritts, Charles Fritts, Charles Fritts, Charles Fritts,Charles Fritts,Charles Fritts,Charles Fritts,Charles Fritts
"The duplication and transmission of genetic material from one generation of cells to the next is the basis for molecular inheritance, and the link between the classical and molecular pictures of genes. Organisms inherit the characteristics of their parents because the cells of the offspring contain copies of the genes in their parents' cells. In asexually reproducing organisms, the offspring will be a genetic copy or clone of the parent organism. In sexually reproducing organisms, a specialized form of cell division called meiosis produces cells called gametes or germ cells that are haploid, or contain only one copy of each gene.:20.2 The gametes produced by females are called eggs or ova, and those produced by males are called sperm. Two gametes fuse to form a diploid fertilized egg, a single cell that has two sets of genes, with one copy of each gene from the mother and one from the father.:20",cell,In what type of organism will a specialized form of cell division called meiosis produce cells called gametes?,What kind of organism carries out this type of division in cell?,"{'text': ['In sexually reproducing organisms'], 'answer_start': [451]}",['In sexually reproducing organisms'],sexually reproducing organisms,meiosis,sexually reproducing organisms,sexually reproducing, sexually reproducing, sexually reproducing, sexually reproducing organisms, sexually reproducing organisms,In sexually reproducing organisms,In sexually reproducing organisms,sexually reproducing organisms,sexually reproducing organisms
"In the last two decades, photovoltaics (PV), also known as solar PV, has evolved from a pure niche market of small scale applications towards becoming a mainstream electricity source. A solar cell is a device that converts light directly into electricity using the photoelectric effect. The first solar cell was constructed by Charles Fritts in the 1880s. In 1931 a German engineer, Dr Bruno Lange, developed a photo cell using silver selenide in place of copper oxide. Although the prototype selenium cells converted less than 1% of incident light into electricity, both Ernst Werner von Siemens and James Clerk Maxwell recognized the importance of this discovery. Following the work of Russell Ohl in the 1940s, researchers Gerald Pearson, Calvin Fuller and Daryl Chapin created the crystalline silicon solar cell in 1954. These early solar cells cost 286 USD/watt and reached efficiencies of 4.5–6%. By 2012 available efficiencies exceed 20% and the maximum efficiency of research photovoltaics is over 40%.",cell,In what year was the crystalline silicon solar cell constructed?,In what year was the cell constructed?,"{'text': ['1954'], 'answer_start': [819]}",['1954'],1954,1880s,1954,1880s, 1954, 1880s, 1954, 1931,1954,[CLS],1954,1880s
"Axons transmit signals to other neurons by means of specialized junctions called synapses. A single axon may make as many as several thousand synaptic connections with other cells. When an action potential, traveling along an axon, arrives at a synapse, it causes a chemical called a neurotransmitter to be released. The neurotransmitter binds to receptor molecules in the membrane of the target cell.",cell,The neurotansmitter binds to what of a target cell?,The signal connects to what part of the target cell?,"{'text': ['receptor molecules'], 'answer_start': [347]}",['receptor molecules'],receptor molecules,membrane,receptor molecules,receptor molecules in the membrane, receptor molecules, membrane, receptor molecules, receptor molecules in the membrane,receptor molecules,receptor molecules in the membrane,receptor molecules,the membrane
"Genes are regulated so that they are expressed only when the product is needed, since expression draws on limited resources.:7 A cell regulates its gene expression depending on its external environment (e.g. available nutrients, temperature and other stresses), its internal environment (e.g. cell division cycle, metabolism, infection status), and its specific role if in a multicellular organism. Gene expression can be regulated at any step: from transcriptional initiation, to RNA processing, to post-translational modification of the protein. The regulation of lactose metabolism genes in E. coli (lac operon) was the first such mechanism to be described in 1961.",cell,What are examples of a cell's external environment?,What are the things outside the cell?,"{'text': ['available nutrients, temperature and other stresses'], 'answer_start': [208]}","['available nutrients, temperature and other stresses']","available nutrients, temperature and other stresses","available nutrients, temperature and other stresses","available nutrients , temperature and other stresses","available nutrients , temperature and other stresses"," available nutrients, temperature and other stresses",<s>," available nutrients, temperature and other stresses"," available nutrients, temperature and other stresses","available nutrients, temperature and other stresses",external environment,"available nutrients, temperature and other stresses","available nutrients, temperature and other stresses"
"Genes are regulated so that they are expressed only when the product is needed, since expression draws on limited resources.:7 A cell regulates its gene expression depending on its external environment (e.g. available nutrients, temperature and other stresses), its internal environment (e.g. cell division cycle, metabolism, infection status), and its specific role if in a multicellular organism. Gene expression can be regulated at any step: from transcriptional initiation, to RNA processing, to post-translational modification of the protein. The regulation of lactose metabolism genes in E. coli (lac operon) was the first such mechanism to be described in 1961.",cell,What are examples of a cell's internal environment?,What are the things inside the cell?,"{'text': ['cell division cycle, metabolism, infection status'], 'answer_start': [293]}","['cell division cycle, metabolism, infection status']","cell division cycle, metabolism, infection status","available nutrients, temperature and other stresses","cell division cycle , metabolism , infection status","cell division cycle , metabolism , infection status"," cell division cycle, metabolism, infection status"," cell division cycle, metabolism, infection status"," cell division cycle, metabolism, infection status"," cell division cycle, metabolism, infection status","cell division cycle, metabolism, infection status","cell division cycle, metabolism, infection status","cell division cycle, metabolism, infection status","cell division cycle, metabolism, infection status"
